REGISTRO N§;FECHA;HORA;DESCRIPCION (Vehiculo / Moto);DOMINIO;MARCA;MODELO;COLOR;TIPO;CHASIS N§;MOTOR N§;LEVANTADO EN :;AGENTE DE PLAYA QUE RECIBIO;GRUA / CHOFER;INVENTARIO SI/NO;NUMERO DE RECLAMO ;FECHA;HORA;GRUA/CHOFER;ENTREGA AGENTE;NOTAS;CONTROL DE LEGALES;
1;03/02/2015;S/D;SI;DMW500;FORD;COURIER;;PARTICULAR;S/D;S/D;S/D;S/D;S/D;SI;;03/11/2015;10:30;DOMINGUEZ DIEGO(CACTYT);CARRILLO/APES/PLATAS;TRASLADO A HERRERA;;
2;04/02/2015;S/D;SI;APO821;DAEWOO;DAMAS;;PARTICULAR;S/D;S/D;S/D;PIZARRO;S/D;SI;;10/06/2015;11:00;MAIDANA (CACTYT);MORENO-PLATAS;TRASLADO A HERRERA;;
3;05/02/2015;S/D;SI;TAG362;ROVER;214SLI;;PARTICULAR;S/D;S/D;S/D;PIZARRO;S/D;SI;;12/06/2015;16:00;TAPIA (CACTYT);HURTADO;TRASLADO A HERRERA;;
4;06/02/2015;S/D;SI;WO38007;DODGE;S/D;;PARTICULAR;S/D;S/D;S/D;PIZARRO;S/D;SI;;03/11/2015;09:30;SICA(CACTYT);CARRILLO/APES/PLATAS;TRASLADO A HERRERA;;
5;09/02/2015;10:30;SI;TNM556;MAZDA;VG;;PARTICULAR;S/D;S/D;S/D;PLATAS/MORENO;BINETTI;SI;;28/008/15;12:00;DEPAOLA;CARRILLO/APES;TRASLADO A HERRERA;;
6;09/02/2015;10:45;SI;TMK550;TOYOTA;COROLLA;;PARTICULAR;S/D;S/D;S/D;PLATAS/MORENO;ARCE;SI;;24/05/2015;10:30;JUAN PABLO ALAMINO;ACQUACALDA;TRASLADO A HERRERA;;
7;09/02/2015;17:30;SI;S/PLACA;FORD;SIERRA;;PARTICULAR;S/D;S/D;S/D;PIZARRO;CABRERIZO;SI;;09/03/2015;18:10;ARIOLA GRUA NTV 852;HURTADO/PIZARRO;TRASLADO A HERRERA;;
8;10/02/2015;16:19;SI;S284136;PEUGEOT;404;;PARTICULAR;S/D;S/D;WARNES Y ARENAL;PIZARRO;CABRERIZO;SI;;21/12/2015;11:40;GRECO;CARRILLO;TRASLADO A HERRERA;;
9;12/02/2015;10:20;SI;S/PLACA;PEUGEOT;PARTNER;;PARTICULAR;S/D;S/D;S/D;PLATAS/MORENO;BINETTI;SI;;09/03/2015;16:50;ARIOLA GRUA NTV 852;HURTADO/PIZARRO;TRASLADO A HERRERA;;
10;13/02/2015;08:55;SI;AKH734;VW;POINTER;;PARTICULAR;S/D;S/D;M.ARGENTINAS 633;PLATAS/MORENO;BINETTI;SI;;24/05/2015;09:50;JUAN PABLO ALAMINO;ACQUACALDA;TRASLADO A HERRERA;;
11;13/02/2015;17:10;SI;BXS828;VW;POLO;;PARTICULAR;S/D;S/D;INDEPENDENCIA 2800;PIZARRO;CUVILLANA;SI;;24/06/2015;10:15;S/D;MORENO-PLATAS-APES;TRASLADO A HERRERA;;
12;18/02/2015;09:40;SI;S/PLACA;S/D;S/D;;PARTICULAR;S/D;S/D;S/D;PLATAS/MORENO;ALBERDI;SI;;09/03/2015;17:30;ARIOLA GRUA NTV 852;HURTADO/PIZARRO;TRASLADO A HERRERA;;
13;18/02/2015;09:45;SI;S/PLACA;S/D;S/D;;PARTICULAR;S/D;S/D;S/D;PLATAS/MORENO;SAMPAYO;SI;;09/03/2015;18:37;ARIOLA GRUA NTV 852;HURTADO/PIZARRO;TRASLADO A HERRERA;;
14;19/02/2015;16:26;SI;TJC866;PEUGEOT;405;;PARTICULAR;S/D;S/D;YERBAL 100;PIZARRO;PUENTES;SI;PARA COMPACTAR;04/08/2015;18:00;VANESKEHEIAN;HURTADO/PIZARRO;TRASLADO A HERRERA;;
15;20/02/2015;11:00;SI;APD391;RENAULT;19;;PARTICULAR;S/D;S/D;3 DE FEBRERO 1392;APES;DOMINGUEZ;SI;;;;;;;;
16;24/02/2015;10:50;SI;BUT253;ALFA ROMEO;146;;PARTICULAR;S/D;S/D;JUEZ TEDEM Y ORTIZ DE OCAMPO;PLATAS/MORENO;DOMINGUEZ;SI;;25/05/2015;10:32;ALAMINO CACTYT;AMADEO;TRASLADO A HERRERA;;
17;25/02/2015;12:55;SI;WAD458;HONDA;ACCORD;;PARTICULAR;S/D;S/D;SUCRE 4511;PLATAS/MORENO;BINETTI;SI;;04/05/2016;11:00;LEYVA;CARRILLO;TRASLADO A HERRERA;;
18;28/02/2015;20:50;SI;B438923;PEUGEOT;403;;PARTICULAR;S/D;S/D;S/D;TOMASI/FONDO;ARREYES;SI;;09/03/2015;15:52;ARIOLA GRUA NTV 852;HURTADO/PIZARRO;TRASLADO A HERRERA;;
19;04/03/2015;11:30;SI;TKZ283;PEUGEOT;404;;PARTICULAR;S/D;S/D;C.CALVO 4310;MORENO/APES;MAIDANA;SI;;05/08/2015;09:15;MAIDANA(CACTYT);CARRILLO/APES/PLATAS;TRASLADO A HERRERA;;
20;04/03/2015;11:40;SI;S/PLACA;FORD;S/D;;PARTICULAR;S/D;S/D;BASUALDO 472;MORENO/APES;DEPAOLA;SI;;26/06/2015;17:00;SANTOLLI CACTYT;PIZARRO;TRASLADO A HERRERA;;
21;05/03/2015;11:30;SI;S/PLACA;VW;GOL;;PARTICULAR;S/D;S/D;ALCARAZ 4372;MORENO/APES;MAIDANA;SI;;12/04/2015;12:19;CORRAL -NTN 852;CALDERON;TRASLADO A HERRERA;;
22;06/03/2015;17:34;SI;S/PLACA;PEUGEOT;406;;PARTICULAR;S/D;S/D;F.PTE SARMIENTO 1144;HURTADO/PIZARRO;MARTINEZ;SI;;12/04/2015;11:50;ALAMINO -FTPd782;AMADEO;TRASLADO A HERRERA;;
